,question,question_id,question_type,answer
4,What should I do if I forget a dose of Allopurinol ?,0000039-6,forget a dose,
5,What are the side effects or risks of Allopurinol ?,0000039-7,side effects,
6,What should I know about storage and disposal of Allopurinol ?,0000039-8,storage and disposal,
7,What other information should I know about Allopurinol ?,0000039-9,other information,
8,What are the brand names of Allopurinol ?,0000039-10,brand names,
0,Who should get Almotriptan and why is it prescribed ?,0000040-1,indication,
1,How should Almotriptan be used and what is the dosage ?,0000040-2,usage,
2,Are there safety concerns or special precautions about Almotriptan ?,0000040-4,precautions,
3,What special dietary instructions should I follow with Almotriptan ?,0000040-5,dietary,
4,What are the side effects or risks of Almotriptan ?,0000040-6,side effects,
5,What should I know about storage and disposal of Almotriptan ?,0000040-7,storage and disposal,
6,What to do in case of emergency or overdose of Almotriptan ?,0000040-8,emergency or overdose,
7,What other information should I know about Almotriptan ?,0000040-9,other information,
8,What are the brand names of Almotriptan ?,0000040-10,brand names,
0,Who should get Alogliptin and why is it prescribed ?,0000041-1,indication,
1,How should Alogliptin be used and what is the dosage ?,0000041-2,usage,
2,Are there safety concerns or special precautions about Alogliptin ?,0000041-4,precautions,
3,What special dietary instructions should I follow with Alogliptin ?,0000041-5,dietary,
4,What should I do if I forget a dose of Alogliptin ?,0000041-6,forget a dose,
5,What are the side effects or risks of Alogliptin ?,0000041-7,side effects,
6,What should I know about storage and disposal of Alogliptin ?,0000041-8,storage and disposal,
7,What to do in case of emergency or overdose of Alogliptin ?,0000041-9,emergency or overdose,
8,What other information should I know about Alogliptin ?,0000041-10,other information,
9,What are the brand names of Alogliptin ?,0000041-11,brand names,
10,What are the brand names of combination products of Alogliptin ?,0000041-12,brand names of combination products,
0,What important warning or information should I know about Alosetron ?,0000042-1,important warning,
1,Who should get Alosetron and why is it prescribed ?,0000042-2,indication,
2,How should Alosetron be used and what is the dosage ?,0000042-3,usage,
3,Are there safety concerns or special precautions about Alosetron ?,0000042-5,precautions,
4,What special dietary instructions should I follow with Alosetron ?,0000042-6,dietary,
5,What should I do if I forget a dose of Alosetron ?,0000042-7,forget a dose,
6,What are the side effects or risks of Alosetron ?,0000042-8,side effects,
7,What should I know about storage and disposal of Alosetron ?,0000042-9,storage and disposal,
8,What to do in case of emergency or overdose of Alosetron ?,0000042-10,emergency or overdose,
9,What other information should I know about Alosetron ?,0000042-11,other information,
10,What are the brand names of Alosetron ?,0000042-12,brand names,
0,Who should get Alprazolam and why is it prescribed ?,0000043-1,indication,
1,How should Alprazolam be used and what is the dosage ?,0000043-2,usage,
2,Are there safety concerns or special precautions about Alprazolam ?,0000043-4,precautions,
3,What special dietary instructions should I follow with Alprazolam ?,0000043-5,dietary,
4,What should I do if I forget a dose of Alprazolam ?,0000043-6,forget a dose,
5,What are the side effects or risks of Alprazolam ?,0000043-7,side effects,
6,What should I know about storage and disposal of Alprazolam ?,0000043-8,storage and disposal,
7,What to do in case of emergency or overdose of Alprazolam ?,0000043-9,emergency or overdose,
8,What other information should I know about Alprazolam ?,0000043-10,other information,
9,What are the brand names of Alprazolam ?,0000043-11,brand names,
0,Who should get Alprostadil Urogenital and why is it prescribed ?,0000044-1,indication,
1,How should Alprostadil Urogenital be used and what is the dosage ?,0000044-2,usage,
2,Are there safety concerns or special precautions about Alprostadil Urogenital ?,0000044-4,precautions,
3,What special dietary instructions should I follow with Alprostadil Urogenital ?,0000044-5,dietary,
4,What are the side effects or risks of Alprostadil Urogenital ?,0000044-6,side effects,
5,What should I know about storage and disposal of Alprostadil Urogenital ?,0000044-7,storage and disposal,
6,What to do in case of emergency or overdose of Alprostadil Urogenital ?,0000044-8,emergency or overdose,
7,What other information should I know about Alprostadil Urogenital ?,0000044-9,other information,
8,What are the brand names of Alprostadil Urogenital ?,0000044-10,brand names,
0,What important warning or information should I know about Altretamine ?,0000045-1,important warning,
1,Who should get Altretamine and why is it prescribed ?,0000045-2,indication,
2,How should Altretamine be used and what is the dosage ?,0000045-3,usage,
3,Are there safety concerns or special precautions about Altretamine ?,0000045-5,precautions,
4,What special dietary instructions should I follow with Altretamine ?,0000045-6,dietary,
5,What should I do if I forget a dose of Altretamine ?,0000045-7,forget a dose,
6,What are the side effects or risks of Altretamine ?,0000045-8,side effects,
7,What should I know about storage and disposal of Altretamine ?,0000045-9,storage and disposal,
8,What to do in case of emergency or overdose of Altretamine ?,0000045-10,emergency or overdose,
9,What other information should I know about Altretamine ?,0000045-11,other information,
10,What are the brand names of Altretamine ?,0000045-12,brand names,
0,Who should get Aluminum Hydroxide and why is it prescribed ?,0000046-1,indication,
1,How should Aluminum Hydroxide be used and what is the dosage ?,0000046-2,usage,
2,Are there safety concerns or special precautions about Aluminum Hydroxide ?,0000046-4,precautions,
3,What should I do if I forget a dose of Aluminum Hydroxide ?,0000046-5,forget a dose,
4,What are the side effects or risks of Aluminum Hydroxide ?,0000046-6,side effects,
5,What should I know about storage and disposal of Aluminum Hydroxide ?,0000046-7,storage and disposal,
6,What other information should I know about Aluminum Hydroxide ?,0000046-8,other information,
7,What are the brand names of Aluminum Hydroxide ?,0000046-9,brand names,
0,Who should get Aluminum Hydroxide and Magnesium Hydroxide and why is it prescribed ?,0000047-1,indication,
1,How should Aluminum Hydroxide and Magnesium Hydroxide be used and what is the dosage ?,0000047-2,usage,
2,Are there safety concerns or special precautions about Aluminum Hydroxide and Magnesium Hydroxide ?,0000047-3,precautions,
3,What special dietary instructions should I follow with Aluminum Hydroxide and Magnesium Hydroxide ?,0000047-4,dietary,
4,What should I do if I forget a dose of Aluminum Hydroxide and Magnesium Hydroxide ?,0000047-5,forget a dose,
5,What are the side effects or risks of Aluminum Hydroxide and Magnesium Hydroxide ?,0000047-6,side effects,
6,What should I know about storage and disposal of Aluminum Hydroxide and Magnesium Hydroxide ?,0000047-7,storage and disposal,
7,What other information should I know about Aluminum Hydroxide and Magnesium Hydroxide ?,0000047-8,other information,
8,What are the brand names of combination products of Aluminum Hydroxide and Magnesium Hydroxide ?,0000047-9,brand names of combination products,
0,What important warning or information should I know about Alvimopan ?,0000048-1,important warning,
1,Who should get Alvimopan and why is it prescribed ?,0000048-2,indication,
2,How should Alvimopan be used and what is the dosage ?,0000048-3,usage,
3,Are there safety concerns or special precautions about Alvimopan ?,0000048-5,precautions,
4,What special dietary instructions should I follow with Alvimopan ?,0000048-6,dietary,
5,What are the side effects or risks of Alvimopan ?,0000048-7,side effects,
6,What to do in case of emergency or overdose of Alvimopan ?,0000048-8,emergency or overdose,
7,What other information should I know about Alvimopan ?,0000048-9,other information,
8,What are the brand names of Alvimopan ?,0000048-10,brand names,
0,Who should get Amantadine and why is it prescribed ?,0000049-1,indication,
1,How should Amantadine be used and what is the dosage ?,0000049-2,usage,
2,Are there safety concerns or special precautions about Amantadine ?,0000049-3,precautions,
3,What special dietary instructions should I follow with Amantadine ?,0000049-4,dietary,
4,What should I do if I forget a dose of Amantadine ?,0000049-5,forget a dose,
5,What are the side effects or risks of Amantadine ?,0000049-6,side effects,
6,What should I know about storage and disposal of Amantadine ?,0000049-7,storage and disposal,
7,What to do in case of emergency or overdose of Amantadine ?,0000049-8,emergency or overdose,
8,What other information should I know about Amantadine ?,0000049-9,other information,
9,What are the brand names of Amantadine ?,0000049-10,brand names,
0,What important warning or information should I know about Ambrisentan ?,0000050-1,important warning,
1,Who should get Ambrisentan and why is it prescribed ?,0000050-2,indication,
2,How should Ambrisentan be used and what is the dosage ?,0000050-3,usage,
3,Are there safety concerns or special precautions about Ambrisentan ?,0000050-5,precautions,
4,What special dietary instructions should I follow with Ambrisentan ?,0000050-6,dietary,
5,What should I do if I forget a dose of Ambrisentan ?,0000050-7,forget a dose,
6,What are the side effects or risks of Ambrisentan ?,0000050-8,side effects,
7,What should I know about storage and disposal of Ambrisentan ?,0000050-9,storage and disposal,
8,What to do in case of emergency or overdose of Ambrisentan ?,0000050-10,emergency or overdose,
9,What other information should I know about Ambrisentan ?,0000050-11,other information,
10,What are the brand names of Ambrisentan ?,0000050-12,brand names,
0,Who should get Amifostine Injection and why is it prescribed ?,0000051-1,indication,
